"id";"bsn";"chassisNummer";"kenteken";"kleur";"merkNaam";"motorInhoud";"typeAanduiding";"typeMotor"
1;116527314;"S23341";"PN879-R";"grijs metallic";"Ford";2.62;"Station";"G"
2;704023366;"E30678";"JO314-V";"groen";"Alfa Romeo";6.694;"Station";"H"
3;861224008;"V84759";"ST104-W";"blauw metallic";"VW";4.684;"Cabrio";"H"
4;179272663;"I24096";"QH943-Y";"grijs";"BMW";3.151;"Cabrio";"E"
5;251176359;"N84980";"53-OV-MM";"grijs";"VW";2.392;"Station";"D"
6;459618865;"E40571";"78-CY-CM";"blauw";"Alfa Romeo";2.634;"Cabrio";"E"
7;322575463;"X31117";"87-QX-SC";"zwart metallic";"Toyota";3.142;"Cabrio";"G"
8;114193003;"K7789";"30-LFS-8";"groen";"Mercedes";1.798;"Sedan";"G"
9;939823462;"D85190";"64-RK-YW";"blauw metallic";"Toyota";2.298;"Sport";"E"
10;872439189;"O93729";"FM376-M";"rood";"FIAT";5.451;"Cabrio";"G"
11;537540554;"F2492";"BW784-U";"blauw";"Toyota";6.576;"Station";"H"
12;883007454;"K49133";"YR323-J";"blauw";"Range Rover";4.968;"Station";"B"
13;641116024;"T90476";"52-IDX-10";"blauw";"Ford";4.142;"Sport";"D"
14;820943903;"I98131";"PN165-V";"blauw metallic";"BMW";3.718;"Sedan";"B"
15;529101165;"T76041";"KG578-B";"rood";"FIAT";7.17;"Sport";"H"
16;316885388;"N94855";"96-UCJ-5";"grijs";"Ford";5.506;"Station";"H"
17;143787395;"A7116";"30-LW-QD";"zwart metallic";"Mazda";5.948;"Station";"H"
18;202745809;"R79473";"23-QE-MI";"groen metallic";"Opel";6.889;"Cabrio";"D"
19;444057806;"M34143";"42-IS-NP";"zilver";"VW";5.085;"Sedan";"H"
20;215964102;"E75924";"83-WU-PH";"blauw metallic";"VW";3.135;"Sport";"B"
21;560226745;"A50825";"53-JC-FP";"zilver";"Alfa Romeo";5.63;"Cabrio";"D"
22;690032635;"A72802";"HM127-D";"zwart metallic";"Range Rover";4.039;"Station";"H"
23;894160331;"Q14751";"25-DDH-6";"wit";"Range Rover";6.455;"Sedan";"D"
24;199678062;"D98402";"87-PFG-2";"groen metallic";"Mazda";3.109;"Sport";"G"
25;948244613;"Q19980";"83-OF-FW";"zilver";"FIAT";3.685;"Sedan";"E"
26;662979382;"X9513";"81-QK-EB";"rood";"Mercedes";1.395;"Cabrio";"E"
27;519702856;"U19002";"51-HQ-EC";"groen";"Mazda";1.821;"Cabrio";"H"
28;644421761;"Z56752";"67-AFF-4";"rood";"Alfa Romeo";3.087;"Cabrio";"H"
29;773028123;"L60302";"IC656-H";"zilver";"Toyota";4.101;"Station";"E"
30;923291592;"I80824";"33-EDJ-6";"grijs metallic";"Chevrolet";4.861;"Sedan";"E"
31;276359590;"F9913";"69-GJ-RX";"groen";"Range Rover";1.361;"Cabrio";"G"
32;211725421;"B15741";"86-WP-VX";"zwart metallic";"VW";5.129;"Sport";"B"
33;927182803;"M71486";"58-ZO-OM";"antraciet";"Toyota";5.878;"Cabrio";"H"
34;407418589;"E85037";"FL199-C";"groen";"Mercedes";4.665;"Cabrio";"H"
35;994436040;"N29171";"62-NZJ-2";"wit";"Mercedes";6.835;"Sedan";"D"
36;775155240;"C28479";"QB408-I";"rood metallic";"FIAT";6.055;"Cabrio";"E"
37;297403003;"C62045";"SG412-X";"groen metallic";"BMW";3.291;"Station";"D"
38;429303347;"J38367";"66-XQ-BL";"zwart metallic";"Toyota";2.217;"Sport";"E"
39;515725642;"Q27478";"29-ICU-8";"grijs metallic";"Chevrolet";6.497;"Cabrio";"E"
40;754645074;"W10709";"54-ACD-3";"blauw";"Ford";5.672;"Sport";"E"
41;864156006;"G70110";"41-ZVH-3";"blauw metallic";"Renault";2.628;"Cabrio";"D"
42;714723466;"T36606";"61-LE-IJ";"grijs";"Mercedes";2.301;"Sport";"E"
43;554637598;"M73091";"62-WT-VQ";"antraciet";"Mercedes";3.304;"Station";"E"
44;143327453;"K21376";"16-AP-DT";"blauw metallic";"Range Rover";6.537;"Sedan";"H"
45;678189976;"A92832";"89-YNL-4";"zilver";"Mercedes";3.469;"Cabrio";"B"
46;604358004;"C8827";"65-HGC-9";"groen";"Alfa Romeo";2.493;"Sport";"D"
47;265976127;"F57041";"FD308-S";"antraciet";"Chevrolet";2.916;"Station";"D"
48;848533596;"I58126";"44-QA-JO";"blauw metallic";"Mercedes";4.359;"Station";"D"
49;865896504;"A47087";"64-GZD-6";"zilver";"Toyota";2.194;"Station";"B"
50;724289753;"Q69814";"MB378-U";"antraciet";"Range Rover";5.786;"Cabrio";"H"
51;389239190;"J54626";"41-CXW-7";"zwart metallic";"Chevrolet";5.882;"Station";"G"
